Hour,Baseline_kW
0,30.789492347077967
1,25.120164743968488
2,19.741314070918424
3,20.784985541728084
4,24.9948756883845
5,23.931000830623343
6,32.376850932940265
7,37.46780019427418
8,44.60234035885298
9,52.782084880394244
10,67.34039429362709
11,67.86143019637416
12,73.2952638476327
13,76.20091895526858
14,75.74806881106636
15,79.11669978676076
16,79.57284289216283
17,79.9585561289213
18,79.9585561289213
19,76.00008537770636
20,73.90369474138942
21,69.36647900426246
22,63.67953509725699
23,43.82421518812585
24,37.793496870049395
25,26.664052473432008
26,20.40632132586864
27,19.103970181602094
28,21.432627346278576
29,24.31150338574571
30,29.443459827306636
31,44.83003331239904
32,42.434428899894
33,51.2107260572578
34,64.36556075711063
35,70.7457370925317
36,73.35381809088575
37,76.12209103524539
38,77.2721187875201
39,79.9585561289213
40,77.2086488395172
41,77.12981778866167
42,78.34334886622446
43,75.34945888396548
44,72.89800224610617
45,72.20094293787922
46,59.107673480894476
47,47.77434287609119
48,33.899163455277524
49,24.66114500809529
50,20.987943744354904
51,19.064856140399474
52,22.775719551737712
53,23.63626922127109
54,31.12840476705924
55,37.185058926195936
56,44.314724326215206
57,58.79444294796575
58,66.70143893200544
59,70.91519728830555
60,74.12859491996726
61,77.12277619087361
62,79.9585561289213
63,79.91501682963971
64,79.22691610002043
65,79.70618651006464
66,77.27307947643034
67,76.57670355740194
68,75.07621757806362
69,69.68670060580476
70,66.3032575340558
71,48.723704185693194
72,33.35312711550412
73,25.558068545625922
74,22.300485029578354
75,16.549001728493316
76,20.725837946439018
77,26.91476335591389
78,34.41023810338163
79,37.4795865849713
80,41.05801380168785
81,53.09008763646146
82,66.25547402567629
83,72.668176786972
84,73.05891784626434
85,79.39200391138839
86,78.2004304431084
87,79.9585561289213
88,79.9585561289213
89,79.0668329282772
90,77.16065333711337
91,74.54704111936856
92,74.59428517288805
93,70.46777551899913
94,65.4266036618229
95,43.38650426998113
96,39.79622293026905
97,29.27061582585865
98,21.735238665370183
99,18.96725868677948
100,22.110323632274255
101,26.404350684820596
102,30.392236192851932
103,43.03947072246941
104,47.05051652787268
105,51.74256168642158
106,63.0163736431484
107,72.6163295181132
108,74.9573541991293
109,77.74036731090256
110,79.9585561289213
111,79.9585561289213
112,79.9585561289213
113,78.95590076116274
114,79.4481075532389
115,75.80805596569219
116,74.15728305304138
117,68.53163499783535
118,64.2569105683145
119,51.577898938835084
120,34.598783010323714
121,28.90562796061196
122,22.786292116760194
123,19.145624999034194
124,22.129644183511907
125,25.00096164855983
126,29.82840952818858
127,37.39070103379458
128,46.04170503559988
129,64.91096974818548
130,64.52571288828315
131,72.43554554695888
132,73.70676988911217
133,77.41902698339621
134,78.65785068770629
135,79.9585561289213
136,79.9585561289213
137,79.9585561289213
138,78.26575362040595
139,75.52636263595639
140,74.71864145772149
141,71.30546508848578
142,65.07280227789497
143,53.770779127947115
144,36.965038502131684
145,27.843840819455576
146,25.363550067178295
147,21.18827300081709
148,19.80133097054246
149,26.2065159720785
150,30.46739329126382
151,46.068850815475386
152,47.51748608423959
153,52.110595017342014
154,68.42404662430798
155,73.14943237811855
156,74.1901417002376
157,76.10620265182712
158,79.9585561289213
159,79.02860634221904
160,79.9585561289213
161,79.9585561289213
162,79.9585561289213
163,75.72439386407211
164,73.73633133507577
165,71.20475251125185
166,66.03754577714263
167,54.860476725977044
168,38.32211565904291
169,24.67165277993451
170,25.78500051667787
171,24.22621876511471
172,23.046031723296426
173,27.081310236969482
174,31.763331640566722
175,37.84805769311597
176,47.98498156811517
177,53.93247618830908
178,68.98202964269245
179,72.98208607808483
180,75.32340779953
181,79.14907416978744
182,79.9585561289213
183,79.9585561289213
184,79.9585561289213
185,77.87338304311547
186,79.9585561289213
187,77.36215736505832
188,74.17478681658483
189,73.14207616660934
190,64.4052658442649
191,50.46551793390978
192,38.33582520035566
193,31.18298118996824
194,24.457551722927757
195,21.138666743959043
196,19.54615153687748
197,26.06262771425221
198,28.829950236895826
199,38.25627134331437
200,44.01707975358473
201,55.67513988472584
202,70.03636736473278
203,73.6337491020684
204,77.32588176026651
205,77.10909442212989
206,78.16744353635603
207,79.9585561289213
208,79.9585561289213
209,79.9585561289213
210,79.9585561289213
211,76.80329647929918
212,74.88810945971565
213,72.83394601232906
214,66.0147525660116
215,57.42735978366221
216,40.770770022271364
217,30.76174010021386
218,22.578987596053732
219,24.575767839724996
220,23.310417757899387
221,26.725224430551386
222,30.96606009296916
223,40.66473761996746
224,47.42498118700462
225,64.16754001289763
226,67.73293578897922
227,74.18916388651198
228,74.9267162077736
229,75.92582379323116
230,78.30099621540917
231,79.9585561289213
232,79.9585561289213
233,79.8565266624711
234,78.46436348309645
235,78.5425316704223
236,75.24614257232207
237,71.76328364447741
238,68.23319005628873
239,55.576952925297874
240,42.46027822117714
241,29.323947457119854
242,27.111664143372057
243,24.525619035079032
244,22.173447234815363
245,28.12881918786254
246,28.47231363163577
247,41.24270120682937
248,49.64293196979479
249,66.64577212436429
250,71.80184154003868
251,75.66560176407503
252,75.74846254297951
253,79.62970776887438
254,79.88481230811367
255,79.9585561289213
256,79.9585561289213
257,79.9585561289213
258,79.9585561289213
259,76.20214812902256
260,75.39446935692844
261,73.09062054777549
262,68.98236888182613
263,58.11089496866397
264,42.33070739765865
265,33.7674675660337
266,25.601571287558397
267,23.275496493159782
268,21.241781206999715
269,26.00126180251374
270,29.358721546666267
271,43.69389843496581
272,53.477030542637415
273,60.37352045721144
274,69.07371680315741
275,73.1086122051842
276,76.58187053331973
277,79.9585561289213
278,79.9585561289213
279,79.9347056510639
280,79.9585561289213
281,79.9585561289213
282,79.9585561289213
283,78.89947390873826
284,75.07681679884044
285,71.29492361234588
286,67.251394356906
287,58.38037600181553
288,36.04292694993011
289,31.003034866517588
290,26.948885423382706
291,23.2261437849144
292,22.48388521571139
293,27.845920221101302
294,29.964483696348815
295,36.05263316800466
296,51.16992816839225
297,60.24658902300656
298,68.90248140500219
299,73.74371479326608
300,75.6953899506766
301,79.58636649529399
302,79.9585561289213
303,79.9585561289213
304,79.9585561289213
305,79.9585561289213
306,78.77985930258056
307,77.72476567273887
308,75.05707459571107
309,72.33900261870915
310,65.92984837719578
311,57.902720701298
312,40.74617291362648
313,35.25617007834215
314,28.77314151892094
315,22.46457019285186
316,26.495687800795576
317,27.495587662390903
318,31.89072008381223
319,42.587497389157896
320,58.9452744029422
321,64.38247996752223
322,68.41175535441148
323,75.20746086605806
324,77.6623149591397
325,78.45938863757368
326,79.9585561289213
327,79.9585561289213
328,79.9585561289213
329,79.9585561289213
330,79.9585561289213
331,76.38361454247557
332,76.06405622174547
333,74.271683177945
334,68.6633606579274
335,53.99782527190277
336,37.0770233785155
337,28.31441203835363
338,28.36816896814643
339,26.33963301238552
340,28.326617102132012
341,29.90475614813835
342,39.5246175496527
343,47.320792640850634
344,49.00566950530154
345,68.2067399534552
346,72.59166655842954
347,74.34183713974481
348,76.10823157507187
349,79.49739135820879
350,79.9585561289213
351,79.9585561289213
352,79.9585561289213
353,79.9585561289213
354,79.9585561289213
355,76.55259249804064
356,76.0843135489962
357,73.94046100210561
358,68.73839585147243
359,62.782395110275935
360,42.97670744881596
361,30.89134009210445
362,27.369785994788344
363,24.376357165813495
364,25.63057003322497
365,30.63116512215355
366,31.9613345502558
367,45.26352074594778
368,52.95220519611757
369,66.77518722109647
370,72.9443232789344
371,74.8317599984617
372,78.92179709713709
373,77.95098251094367
374,79.9585561289213
375,79.9585561289213
376,79.9585561289213
377,79.9585561289213
378,79.7791140742892
379,79.9585561289213
380,76.85758783309655
381,73.11040014215656
382,68.2453153062471
383,56.70530364746671
384,39.86825903120732
385,35.86444795296652
386,28.389574685651002
387,29.490912257246737
388,33.089545977961905
389,32.518694707895925
390,30.876808478551464
391,48.76350364192427
392,58.59934514626579
393,67.42371891786549
394,72.61836432776317
395,74.52265060792959
396,77.46863530671183
397,79.64951911302349
398,79.9585561289213
399,79.9585561289213
400,79.9585561289213
401,79.9585561289213
402,78.77669455076138
403,76.47529218988099
404,75.59130746777255
405,73.6587408923512
406,71.79983272806214
407,63.63525277378367
408,41.88405104187008
409,34.34730708843772
410,31.26324596067229
411,30.736524136666993
412,28.596938952554076
413,35.95313654452505
414,36.61267066187672
415,42.54318223143147
416,61.53873411344335
417,69.7399037756951
418,72.04676072503568
419,74.77573069972959
420,77.20363653989997
421,79.9585561289213
422,79.9585561289213
423,79.9585561289213
424,79.9585561289213
425,79.9585561289213
426,79.9585561289213
427,78.72931914885586
428,77.83479777776876
429,73.56060679816179
430,68.20860202596249
431,57.65695537836713
432,42.53649081503988
433,37.66602793952317
434,29.26184429172059
435,26.093427015334434
436,28.32313550848889
437,31.84859615458202
438,36.98345800253043
439,46.219254827700915
440,62.61710688496995
441,68.38751860271813
442,73.2722058802955
443,75.75429807549219
444,77.23477864816039
445,78.93798946310997
446,79.9585561289213
447,79.9585561289213
448,79.9585561289213
449,79.9585561289213
450,79.9585561289213
451,78.97899519673363
452,75.93051452272034
453,73.75378978914169
454,69.47259676074812
455,54.00034871579812
456,50.17645498748129
457,33.3065303219005
458,28.554601568851268
459,29.142460481630646
460,27.532331501138295
461,36.93119747401335
462,39.69080897122802
463,52.446658324570464
464,62.80105925109989
465,69.9526131117673
466,73.65324130006111
