Hour,Baseline (kW),VFD Fans & Pumps,Thermostat Optimization,High Efficiency Chiller,LED Lighting Retrofit,Economizer + DCV,Combined Measures
0,89.0,86.9,83.8,82.0,84.1,84.7,73.2
1000,125.2,122.2,117.8,115.2,118.2,119.0,102.9
2000,122.1,119.2,115.0,112.4,115.3,116.1,100.4
3000,77.2,75.4,72.7,71.1,72.9,73.4,63.5
4000,58.6,57.2,55.2,54.0,55.4,55.7,48.2
5000,45.8,44.7,43.1,42.2,43.3,43.6,37.7
6000,30.6,29.9,28.8,28.2,28.9,29.1,25.2
7000,52.2,51.0,49.2,48.1,49.3,49.7,42.9
8000,84.1,82.1,79.2,77.5,79.5,80.0,69.2
